""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000001674.11"	2224	1098	2566	3251	2180	2270
"ENSMUSG00000001687.15"	26895	13595	30242	38399	29187	27567
"ENSMUSG00000001700.10"	2376	1355	2514	3218	2345	2522
"ENSMUSG00000001707.8"	2386	1311	2355	3713	2854	2679
"ENSMUSG00000001729.14"	20755	9600	24983	28853	22394	21903
"ENSMUSG00000001739.14"	10	5	1	7	10	1
"ENSMUSG00000001741.12"	525	180	896	704	346	399
"ENSMUSG00000001750.16"	895	625	1320	2131	1283	1504
"ENSMUSG00000001751.9"	1530	618	1912	2140	1569	1591
"ENSMUSG00000001755.12"	3258	1464	3681	4398	3356	3518
"ENSMUSG00000001761.7"	2615	1212	3259	3778	2534	2494
"ENSMUSG00000001763.14"	2965	1484	3435	4852	3375	3407
"ENSMUSG00000001767.5"	2619	1187	2973	3398	2362	2627
"ENSMUSG00000001768.16"	4581	1705	5159	5741	4403	4200
"ENSMUSG00000001773.14"	636	494	599	1218	631	621
"ENSMUSG00000001774.8"	7191	4150	7413	10656	7179	7777
"ENSMUSG00000001783.3"	11448	5263	13612	16367	11470	12060
"ENSMUSG00000001785.13"	2432	978	2994	3580	2492	2567
"ENSMUSG00000001786.14"	5813	2403	7208	9029	6624	7184
"ENSMUSG00000001794.13"	16082	7705	17317	21424	15422	15477
"ENSMUSG00000001802.16"	12320	5606	15089	17846	13800	15511
"ENSMUSG00000001804.9"	0	0	0	0	0	0
"ENSMUSG00000001815.15"	1	0	0	0	0	3
"ENSMUSG00000001819.4"	0	0	0	0	0	0
"ENSMUSG00000001823.5"	0	0	0	0	0	0
"ENSMUSG00000001827.12"	552	302	649	633	253	672
"ENSMUSG00000001829.17"	7294	3562	8381	10033	7305	7508
"ENSMUSG00000001833.17"	61063	26294	62878	87482	57567	60110
"ENSMUSG00000001844.10"	2158	837	2495	3015	2012	2178
"ENSMUSG00000001847.14"	44192	20804	49155	60896	44627	44972
"ENSMUSG00000001855.15"	4736	2043	6177	6470	4951	6093
"ENSMUSG00000001864.13"	749	410	910	1244	769	705
"ENSMUSG00000001865.2"	12	2	4	11	7	5
"ENSMUSG00000001870.16"	1003	532	1460	1509	1286	1401
"ENSMUSG00000001891.16"	9868	5121	11974	15616	9999	10087
"ENSMUSG00000001901.15"	281	169	417	453	381	410
"ENSMUSG00000001909.16"	5650	2526	6791	7767	5927	6206
"ENSMUSG00000001910.4"	19170	8391	21359	25273	18684	20776
"ENSMUSG00000001911.16"	35601	15858	41550	47909	32957	41052
"ENSMUSG00000001918.17"	562	200	758	717	634	574
"ENSMUSG00000001924.15"	53823	22286	58629	70441	48859	59863
"ENSMUSG00000001930.17"	4199	1272	5030	3933	3997	3682
"ENSMUSG00000001942.8"	3178	1601	3715	4636	2965	3293
"ENSMUSG00000001943.8"	767	500	886	1101	875	942
"ENSMUSG00000001946.14"	1451	846	1886	2108	1735	1392
"ENSMUSG00000001948.10"	225	88	302	323	210	210
"ENSMUSG00000001962.8"	2167	1054	2593	3198	2544	2534
"ENSMUSG00000001964.14"	4218	2365	5235	6419	4574	4450
"ENSMUSG00000001983.7"	1417	705	1715	2149	1482	1604
"ENSMUSG00000001985.9"	12997	5636	15082	17923	13431	16343
"ENSMUSG00000001986.16"	30458	12313	35326	44687	28380	40011
"ENSMUSG00000001988.9"	1332	748	1520	1789	1138	1586
"ENSMUSG00000001995.9"	7665	4020	9392	10076	7831	9105
"ENSMUSG00000001998.15"	893	394	1122	1294	925	1123
"ENSMUSG00000001999.15"	1883	965	2499	2978	1877	1995
"ENSMUSG00000002006.12"	19684	9550	22898	28498	19533	21742
"ENSMUSG00000002007.5"	267	98	461	594	443	459
"ENSMUSG00000002010.17"	12691	6360	15674	19315	13906	13616
"ENSMUSG00000002012.13"	8735	4405	9650	12239	8005	10083
"ENSMUSG00000002014.12"	4115	2279	5117	6059	4609	4467
"ENSMUSG00000002015.5"	6808	3179	7870	9955	6762	6438
"ENSMUSG00000002017.10"	4593	2038	4244	5489	3968	4375
"ENSMUSG00000002020.15"	92	52	177	92	127	72
"ENSMUSG00000002028.13"	10605	5237	14812	14825	10543	15705
"ENSMUSG00000002031.12"	4531	2381	5210	6434	4414	4579
"ENSMUSG00000002032.17"	5302	2602	7095	8145	5723	5977
"ENSMUSG00000002033.14"	7	5	9	6	5	8
"ENSMUSG00000002043.17"	871	268	986	1055	915	548
"ENSMUSG00000002052.6"	25220	9565	27189	32030	22346	28778
"ENSMUSG00000002055.9"	577	232	785	1148	627	855
"ENSMUSG00000002057.4"	2	2	6	3	0	6
"ENSMUSG00000002058.13"	2363	1341	3109	4677	3066	3333
"ENSMUSG00000002059.18"	1499	736	2031	2471	1811	1845
"ENSMUSG00000002064.10"	5295	2762	6765	8121	5956	5741
"ENSMUSG00000002068.16"	2260	975	2426	3184	2200	2609
"ENSMUSG00000002076.12"	50	51	57	96	45	43
"ENSMUSG00000002083.13"	1098	404	1146	1509	1206	1397
"ENSMUSG00000002100.15"	248	82	442	370	276	238
"ENSMUSG00000002102.15"	18889	8244	20465	25683	18429	18589
"ENSMUSG00000002103.15"	10877	4828	12479	15752	10403	12087
"ENSMUSG00000002104.11"	43	18	40	80	51	63
"ENSMUSG00000002105.15"	2328	954	2682	3203	2383	2382
"ENSMUSG00000002107.18"	48270	20318	52250	68107	49135	59773
"ENSMUSG00000002108.10"	280	166	302	450	294	245
"ENSMUSG00000002109.14"	573	233	891	1161	645	680
"ENSMUSG00000002111.8"	514	272	556	709	565	451
"ENSMUSG00000002129.11"	9645	4777	11648	13117	10428	11695
