Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
1022,7797.1,6006.2
1023,7223.7,4783.5
1024,6606.2,5013.1
1025,7776.9,5666.9
1026,7817.7,5498.9
1027,7078.6,5302.3
1028,7574.1,5565.9
1029,7369,5423.8
1030,6846.3,5543.8
1031,6301.9,4910.1
1032,6876.9,5250
1033,7211.2,5539.4
1034,9929.4,4367
1035,9973.7,5557.5
1036,9874.6,5678.9
1037,9494.9,5024.6
1038,9483.3,5225.8
1039,9238.4,5291.3
1040,9049.7,5549.9
1041,8765.9,5619.7
1042,8994.4,4696.3
1043,8949.2,5460.4
1044,8913.5,4341.6
1045,8843.3,4458.6
1046,8801.2,4770.9
1047,8792.3,5417.3
1048,8656.2,4239.4
1049,8570,5397.6
1050,8703,5746.7
1051,8614.4,4399.8
1052,8641.5,5186.9
1053,8612.2,5618.1
1054,8495.4,4609.5
1055,8449.3,5703.4
1056,8292.8,5484.4
1057,8299,4186.9
1058,8133.6,4265.1
1059,9592.5,4867.3
1060,8568.2,4914.8
1061,9600.5,5547.3
1062,9028.8,4228.6
1063,9572.4,4136.2
1064,8873.9,5108.5
1065,8073.8,5285.3
1066,9402.5,4624.6
1067,8596.4,4178
1068,8105.8,4484.6
1069,9243.5,5177.3
1070,8229.3,5657.8
1071,9393.8,4852.8
1072,9334.4,5431
1073,8906.1,4878.1
1074,8413.4,5526.8
1075,8833.8,4568.7
1076,8791.6,5254.6
1077,8138.1,5194.1
1078,9852.4,5507.9
1079,9042.8,5259.4
1080,9226.7,4630.7
1081,9159.5,4158.7
1082,9309.9,4276.2
1083,9133.2,4534.6
1084,9993.8,5445.5
1085,9942.7,5188.6
1086,9850.7,4596.6
1087,9640.7,4427.4
1088,9915.5,5997.8
1089,9482.6,4809.1
1090,8170.6,4637.8
1091,8065.3,5010.1
1092,8534.4,6022
1093,9659.3,4836.2
1094,9617.1,4581.7
1095,9981,4457.3
1096,8131.6,5541.9
1097,8258.7,4568
1098,9702.9,5248.9
1099,9048.6,5645.4
1100,11923,4249.8
1101,11636,4673.6
1102,11678,6010.8
1103,11514,4847.6
1104,11617,5586.7
1105,11487,5619.9
1106,11480,5174.5
1107,11440,5059.6
1108,11372,5347.1
1109,11229,5199.6
1110,11342,5520
1111,11300,4882
1112,11073,4893.4
1113,11043,5098.2
1114,10917,4339
1115,10836,5392.5
1116,10898,5205.6
1117,10930,4738.4
1118,10862,4876.8
1119,10726,4764.9
1120,10665,5355.4
1121,10618,5275.2
1122,10540,4836.5
1123,10396,5363.7
1124,10394,5571.1
1125,10332,4398.1
1126,10245,5400.7
1127,10162,5599.5
1128,11597,5372.2
1129,11341,4744.3
1130,11111,4312.6
1131,11470,4453.1
1132,10428,5747.3
1133,11574,4934.8
1134,11672,5038.8
1135,10834,5050.1
1136,11632,5819.5
1137,11523,4570
1138,11754,4784.9
1139,10275,4866.2
1140,10734,5191.4
1141,11604,4312.9
1142,10318,5861.1
1143,11448,4830.3
1144,11519,5618.1
1145,11548,5248.7
1146,11993,6006
1147,11786,6009.7
1148,11841,5026.5
1149,11679,5200.7
1150,11758,5892.8
1151,11960,4595.1
1152,11966,5645.6
1153,13790,4680.4
1154,13664,4684.8
1155,13710,5082
1156,13503,4698.5
1157,13383,4634.8
1158,13425,4912.9
1159,13399,5305.9
1160,13298,4395
1161,13301,4853.7
1162,12564,4916.5
1163,12549,5671.9
1164,12576,4598.6
1165,12485,5018.3
1166,13930,5269
1167,13737,4872.4
1168,13588,4814
1169,13557,5255.4
1170,13586,4994.7
1171,13495,5385.1
1172,12255,5446
1173,14000,5939
1174,12843,5766.6
1175,12278,5099.5
1176,13940,4686
1177,13078,5405.6
1178,13859,5196.3
1179,13823,4855.5
1180,12618,5274.6
1181,13969,5527.1
1182,13631,5732.1
1183,13613,4902.9
1184,14955,4742.7
1185,15329,5588.4
1186,14794,4845.3
1187,14473,6009.7
1188,15092,5090
1189,15132,5601.3
1190,15045,4791.7
1191,15117,5497.5
1192,15402,5311.1
1193,15651,5286.8
1194,15178,5002
1195,14665,4756.7
1196,14906,5454.1
1197,14972,5500.9
1198,14691,5880.6
1199,15613,5585.3
1200,15128,4417.4
1201,15231,4380.1
1202,14821,4712.1
1203,14624,5324.7
1204,15455,5614.9
1205,15207,5871
1206,15809,5536.2
1207,15652,5149.3
1208,14827,5055.5
1209,15802,5331
1210,14988,5089.8
1211,15151,5716.8
1212,15058,5594.3
1213,15701,5372.2
1214,15580,5718.6
1215,15481,4520.9
1216,15351,4564.8
1217,14974,4632.6
1218,14576,5894.3
1219,15450,5766.5
1220,15235,4287.5
1221,15254,5521.6
1222,14869,4885
1223,15364,5056.9
1224,15247,5184.3
1225,14970,5783.6
1226,15266,5632.5
1227,15039,5917.1
1228,15189,4728.6
1229,15398,5179.5
1230,14853,5445.3
1231,15755,5243.1
1232,15731,4350
1233,15162,5562.5
1234,15036,4479.1
1235,14991,4244.3
1236,15154,4239.2
1237,15900,4381.1
1238,15448,5480.8
1239,15229,4922
1240,14443,5448.5
1241,15643,4823.3
1242,15576,4473
1243,18002,5889.7
1244,16654,5028.9
1245,16379,5526.3
1246,16801,4882.4
1247,16854,5651.3
1248,17352,5346.4
1249,16352,5693.5
1250,17522,5607.7
1251,16805,4621.8
1252,16396,5167.7
1253,17526,5283.4
1254,17852,5836.3
1255,17613,5927
1256,17216,5690.9
1257,17731,5827.4
1258,17063,5819.2
1259,16268,5292.9
1260,17595,5707.2
1261,17434,5351.9
1262,17016,5977.9
1263,17942,5188.3
1264,17685,4807
1265,17039,5721
1266,17907,4880.1
1267,17997,5672.5
1268,17508,5828.6
1269,16844,5850.3
1270,17779,5225.8
1271,17744,5723.6
1272,17384,4891.9
1273,16421,5274.3
1274,17787,4755.4
1275,17295,4536.3
1276,17726,5067.1
1277,17572,4840.4
1278,17893,5000.4
1279,17997,5353.9
1280,17460,4552
1281,17725,5475.8
1282,16632,5461
1283,17177,4801.9
1284,17347,4557.1
1285,17734,4978.9
1286,18836,5818
1287,18156,5303.6
1288,19358,5032.3
1289,18947,5924.9
1290,18344,6004.6
1291,20006,5438.2
1292,19187,5955.2
1293,18228,5945.6
1294,18530,5693.7
1295,19196,5226
1296,18293,5223.8
1297,18186,5765.6
1298,19093,5377
1299,18148,5671.2
1300,19247,4986.7
1301,19859,5592.8
1302,19193,4708.9
1303,18872,6003.9
1304,19963,4628.5
1305,19847,5413
