""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
"ENSMUSG00000000743.9"	14706.7022396464	0.00918219313488442	0.0776740316711418	0.118214452595434	0.905897738739269	0.999818703842646	"Chmp1a"
"ENSMUSG00000000751.13"	6624.55819843453	0.0353051854003332	0.0703043812164919	0.502176177208873	0.615543598924072	0.999818703842646	"Rpa1"
"ENSMUSG00000000753.15"	1839.84672635871	-0.0583016506964117	0.112490115153451	-0.518282434122151	0.604261226954752	0.999818703842646	"Serpinf1"
"ENSMUSG00000000759.14"	4519.41139544775	-0.0647640770540131	0.067324905495432	-0.961963133515387	0.336068123120872	0.999818703842646	"Tubgcp3"
"ENSMUSG00000000766.18"	155.312296463917	-0.0595875553830456	0.304273815560206	-0.195835304701909	0.844739075917466	0.999818703842646	"Oprm1"
"ENSMUSG00000000776.13"	2183.17830851895	0.0722928635153777	0.0918376872822472	0.787180793144302	0.431176039070441	0.999818703842646	"Polr3d"
"ENSMUSG00000000782.15"	462.447559022333	-0.148560231879454	0.203840495034474	-0.728806274996188	0.466120172607477	0.999818703842646	"Tcf7"
"ENSMUSG00000000787.12"	34804.4845195857	-0.145142897477621	0.0907759535038955	-1.59891349939268	0.109839824085929	0.999818703842646	"Ddx3x"
"ENSMUSG00000000791.9"	77.6869755594443	-0.0601280305175203	0.360043560584451	-0.167002099467953	0.867368396988775	0.999818703842646	"Il12rb1"
"ENSMUSG00000000792.2"	3114.25514977401	-0.265796291352232	0.0986232702082956	-2.69506669968317	0.00703745420869638	0.60435993885906	"Slc5a5"
"ENSMUSG00000000794.9"	3043.16720107713	-0.0107904535607378	0.120175271302592	-0.0897893006088443	0.928454650723154	0.999818703842646	"Kcnn3"
"ENSMUSG00000000804.14"	20321.6587569689	-0.0126194987359481	0.0696183344270608	-0.181266886658564	0.856158096059995	0.999818703842646	"Usp32"
"ENSMUSG00000000805.18"	3461.4276862249	-0.0623621729693411	0.0913069792546604	-0.68299459119559	0.494610260327323	0.999818703842646	"Car4"
"ENSMUSG00000000811.13"	693.630540082309	-0.140742799550949	0.142108866139216	-0.990387182549692	0.321984907933657	0.999818703842646	"Txnrd3"
"ENSMUSG00000000817.10"	10.9566681272726	-1.40355270054402	1.03882641813645	-1.35109453902978	0.176665150585464	0.999818703842646	"Fasl"
"ENSMUSG00000000823.16"	7629.80916307617	-0.142801633355655	0.106964761440114	-1.33503437424675	0.181865096307444	0.999818703842646	"Zfp512b"
